,K,beta,epochs,gamma,lr,train_mse
18,27.0,0.9681733870495596,224.0,21.0,0.012790934829499261,1.3842120849091786
4,40.0,0.9447311076724385,237.0,28.0,0.23183385890848754,1.5836624952828202
19,49.0,0.9369304883896321,231.0,26.0,0.15316716240772374,1.6877419938662857
12,34.0,0.9333977622906244,377.0,22.0,0.15568818491499106,1.8539792397902022
20,35.0,0.9848160475075455,59.0,27.0,0.2204175584748144,2.8691213117444714
9,36.0,0.9468317204015704,291.0,20.0,0.17720240578705854,3.0654835197129424
11,39.0,0.987146329662771,294.0,31.0,0.07775102536615407,3.5254514945499382
10,21.0,0.9006295743524108,73.0,14.0,0.10018270961480161,3.8322609305982787
1,38.0,0.9716176136365071,395.0,32.0,0.09528309195962671,4.137351940289797
5,40.0,0.940969823813332,160.0,18.0,0.12172295513407182,4.985146237585628
22,40.0,0.9619740191106678,324.0,18.0,0.26986344816221125,5.348284859510491
3,25.0,0.963022897407172,299.0,13.0,0.2037504593456656,6.631203502524919
28,45.0,0.978603656746212,210.0,17.0,0.1595797826166585,6.78511030596993
24,42.0,0.903193798693737,124.0,16.0,0.20910899173709577,7.010522952982152
16,46.0,0.9636526428767921,271.0,16.0,0.14095717305597108,7.870526345369661
21,26.0,0.9705332582334039,183.0,27.0,0.25598325458596694,8.045451177739679
26,13.0,0.9285176542181398,228.0,19.0,0.11092578146908516,8.123669621936427
27,43.0,0.9333896784850577,171.0,14.0,0.23832383737672236,8.986312198314925
23,49.0,0.9812242269555781,272.0,39.0,0.037007790719103234,9.123116287388598
17,33.0,0.901350523013526,396.0,33.0,0.1558802073969265,9.246830823101108
29,47.0,0.9435429780622463,68.0,37.0,0.06015888394070724,11.32408538057543
7,28.0,0.908859004472524,285.0,9.0,0.11803352922515652,11.493234282088599
14,37.0,0.9595710625701623,212.0,9.0,0.08857254491999557,12.526439742910858
2,21.0,0.9723189316344232,165.0,6.0,0.030912843182634313,13.27555603369994
13,32.0,0.9439282916007496,301.0,6.0,0.07239965676198253,14.343250718739135
6,41.0,0.9804910162774331,196.0,39.0,0.1683815746703995,20.3630403828037
0,16.0,0.9198046644768686,398.0,29.0,0.21736342415347285,40.81918149303423
15,22.0,0.9409735697302851,245.0,36.0,0.028888753370155257,71.74441001572411
8,25.0,0.9446247489592713,72.0,39.0,0.14559004895631508,112.89855364137429
25,18.0,0.9890106284733453,215.0,37.0,0.09563945940803356,141.48429360131055
