id,Title,Author,Series Title,Volume No.,Av. Rating,No. of Reviews
2767052,The Hunger Games,Suzanne Collins,The Hunger Games,1,4.33,6320743
2,Harry Potter and the Order of the Phoenix,J.K. Rowling,Harry Potter,5,4.5,2479217
2657,To Kill a Mockingbird,Harper Lee,Stand Alone Novel,0,4.28,4456350
1885,Pride and Prejudice,Jane Austen,Stand Alone Novel,0,4.26,2964887
41865,Twilight,Stephenie Meyer,Twilight,1,3.6,4919778
19063,The Book Thief,Markus Zusak,Stand Alone Novel,0,4.37,1815661
170448,Animal Farm,George Orwell,Stand Alone Novel,0,3.95,2709879
18405,Gone with the Wind,Margaret Mitchell,Stand Alone Novel,0,4.3,1069267
11870085,The Fault in Our Stars,John Green,Stand Alone Novel,0,4.21,3512335
386162,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Hitchhiker's Guide to the Galaxy,1,4.22,1419816
370493,The Giving Tree,Shel Silverstein,Stand Alone Novel,0,4.37,896729
6185,Wuthering Heights,Emily Brontë,Stand Alone Novel,0,3.86,1329371
968,The Da Vinci Code,Dan Brown,Robert Langdon,2,3.86,1917619
929,Memoirs of a Geisha,Arthur Golden,Stand Alone Novel,0,4.12,1706806
5297,The Picture of Dorian Gray,Oscar Wilde,Stand Alone Novel,0,4.08,953976
24213,Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll,Stand Alone Novel,0,4.06,452152
10210,Jane Eyre,Charlotte Brontë,Stand Alone Novel,0,4.13,1607552
24280,Les Misérables,Victor Hugo,Stand Alone Novel,0,4.18,678186
13335037,Divergent,Veronica Roth,Divergent,1,4.19,2876414
13079982,Fahrenheit 451,Ray Bradbury,Stand Alone Novel,0,3.99,1660438
7624,Lord of the Flies,William Golding,Stand Alone Novel,0,3.68,2244791
18135,Romeo and Juliet,William Shakespeare,Stand Alone Novel,0,3.75,2041259
18144590,The Alchemist,Paulo Coelho,Stand Alone Novel,0,3.87,2079497
7144,Crime and Punishment,Fyodor Dostoyevsky,Stand Alone Novel,0,4.22,619138
22628,The Perks of Being a Wallflower,Stephen Chbosky,Stand Alone Novel,0,4.2,1239628
4671,The Great Gatsby,F. Scott Fitzgerald,Stand Alone Novel,0,3.92,3741739
256683,City of Bones,Cassandra Clare,The Mortal Instruments,1,4.1,1602758
375802,Ender's Game,Orson Scott Card,Ender's Saga,1,4.3,1120416
4667024,The Help,Kathryn Stockett,Stand Alone Novel,0,4.47,2144559
8127,Anne of Green Gables,L.M. Montgomery,Anne of Green Gables,1,4.26,719239
157993,The Little Prince,Antoine de Saint-Exupéry,Stand Alone Novel,0,4.31,1340053
3,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Harry Potter,1,4.47,6961890
24178,Charlotte's Web,E.B. White,Stand Alone Novel,0,4.17,1401565
890,Of Mice and Men,John Steinbeck,Stand Alone Novel,0,3.88,1927686
18619684,The Time Traveler's Wife,Audrey Niffenegger,Stand Alone Novel,0,3.97,1563455
17245,Dracula,Bram Stoker,Stand Alone Novel,0,4.0,924893
5129,Brave New World,Aldous Huxley,Stand Alone Novel,0,3.99,1427467
320,One Hundred Years of Solitude,Gabriel García Márquez,Stand Alone Novel,0,4.08,746218
21787,The Princess Bride,William Goldman,Stand Alone Novel,0,4.26,772906
5107,The Catcher in the Rye,J.D. Salinger,Stand Alone Novel,0,3.81,2714057
28187,The Lightning Thief,Rick Riordan,Percy Jackson and the Olympians,1,4.25,1967317
2998,The Secret Garden,Frances Hodgson Burnett,Stand Alone Novel,0,4.13,881727
128029,A Thousand Splendid Suns,Khaled Hosseini,Stand Alone Novel,0,4.38,1140184
33574273,A Wrinkle in Time,Madeleine L'Engle,Time Quintet,1,4.0,1043244
13496,A Game of Thrones,George R.R. Martin,A Song of Ice and Fire,1,4.45,1985222
2956,The Adventures of Huckleberry Finn,Mark Twain,Stand Alone Novel,0,3.82,1146116
12232938,The Lovely Bones,Alice Sebold,Stand Alone Novel,0,3.81,2002333
231804,The Outsiders,S.E. Hinton,Stand Alone Novel,0,4.1,927428
