,auc_mean,auc_median,item_alpha,learning_rate,learning_schedule,loss,max_sampled,no_components,num_epochs,precision_mean,precision_median,recall_mean,recall_median,user_alpha
15,0.7817904949188232,0.7898611426353455,7.630752838196613e-09,0.00033599387579457004,adagrad,warp-kos,8.0,44.0,32.0,0.07965708523988724,0.0,0.03501196545035137,0.0,5.814980822975935e-09
21,0.9071708917617798,0.9160645008087158,5.268417704793161e-09,0.09098723644093569,adagrad,bpr,12.0,38.0,23.0,0.12791255116462708,0.10000000149011612,0.059177698631837035,0.045454545454545456,1.5054110967311555e-09
0,0.8969672322273254,0.907080888748169,9.352794672554412e-09,0.0816299153069617,adagrad,bpr,7.0,40.0,8.0,0.13779950141906738,0.10000000149011612,0.06383155044796339,0.047619047619047616,4.04532527810185e-09
9,0.9017851948738098,0.9115976095199585,3.0565533610129313e-10,0.04361271064457023,adagrad,bpr,14.0,57.0,25.0,0.1419212371110916,0.10000000149011612,0.06574466839509346,0.05,3.07587324961121e-08
29,0.9355348348617554,0.9434469938278198,3.738351601568212e-09,0.13740937521361762,adagrad,warp,5.0,57.0,12.0,0.14292077720165253,0.10000000149011612,0.0643270817830904,0.05,2.7520606640103215e-09
25,0.892013430595398,0.9032576084136963,3.2051034956821762e-09,0.06224652993490302,adagrad,bpr,12.0,33.0,10.0,0.14337751269340515,0.10000000149011612,0.0664421166249911,0.05,8.997142977538048e-09
20,0.8971539735794067,0.907429039478302,3.279555128339214e-09,0.0681082765892624,adadelta,bpr,14.0,18.0,22.0,0.14348234236240387,0.10000000149011612,0.06656459331782254,0.05,5.841302778655317e-09
26,0.9024819135665894,0.9117549061775208,1.8297634182314236e-09,0.040474369560399515,adadelta,bpr,12.0,31.0,46.0,0.1466457098722458,0.10000000149011612,0.06818582314168897,0.05263157894736842,5.541965982495001e-09
11,0.8731658458709717,0.8899936079978943,1.0113433836086284e-08,0.04201324452687733,adagrad,bpr,7.0,40.0,6.0,0.1469901204109192,0.10000000149011612,0.06719790385515208,0.05263157894736842,1.9403008187869828e-08
27,0.8544686436653137,0.8770208358764648,1.2729738965285213e-08,0.006121002365820263,adagrad,bpr,10.0,58.0,33.0,0.14792227745056152,0.10000000149011612,0.06665456685238416,0.05263157894736842,9.2219843620664e-09
5,0.9025480151176453,0.911945104598999,1.2585249598625499e-08,0.09326145843432312,adadelta,bpr,11.0,28.0,40.0,0.14802336692810059,0.10000000149011612,0.06876489200454153,0.05263157894736842,6.235550846274178e-13
19,0.8999884128570557,0.9091072678565979,7.813375035854541e-09,0.0210050309934575,adadelta,bpr,10.0,34.0,48.0,0.1507449746131897,0.10000000149011612,0.07008030936736293,0.05263157894736842,7.3208601165644265e-09
1,0.8929696679115295,0.9035807847976685,1.8429967488706308e-09,0.1438200534824616,adadelta,bpr,11.0,20.0,14.0,0.15110062062740326,0.10000000149011612,0.07005008390402821,0.05263157894736842,6.495703341761169e-09
28,0.8642100691795349,0.8835018277168274,8.835852553812843e-09,0.007954234061297171,adagrad,bpr,8.0,37.0,42.0,0.15260931849479675,0.10000000149011612,0.0689409226200247,0.05263157894736842,2.2875875069958105e-08
4,0.9230042099952698,0.9315943121910095,5.4553887777371234e-09,0.012166547264408547,adagrad,warp,7.0,27.0,25.0,0.1536463052034378,0.10000000149011612,0.07031015982778184,0.05405405405405406,1.9293099641143724e-08
8,0.8948984742164612,0.9049267768859863,1.4857098361918894e-08,0.040083464464077644,adadelta,bpr,6.0,31.0,20.0,0.1575172245502472,0.10000000149011612,0.07303550770404965,0.05555555555555555,2.392689010849775e-08
12,0.8641432523727417,0.8723392486572266,1.0991549775472256e-08,0.006256602460709685,adagrad,warp-kos,9.0,39.0,45.0,0.1579103022813797,0.10000000149011612,0.0718961665235066,0.05555555555555555,1.0607660325210787e-08
13,0.8667230606079102,0.8747729063034058,1.254624444816128e-09,0.0061253575794604775,adagrad,warp-kos,12.0,56.0,32.0,0.1590072065591812,0.10000000149011612,0.0722188305526903,0.05555555555555555,3.207647061515475e-09
2,0.9114941358566284,0.918839693069458,7.124060900363477e-10,0.05365270475974681,adagrad,warp-kos,6.0,18.0,28.0,0.18261080980300903,0.20000000298023224,0.08416212463944239,0.07407407407407407,1.527491287296594e-08
7,0.9476978182792664,0.9545068144798279,1.1087806393407482e-08,0.017171793341976643,adagrad,warp,8.0,31.0,45.0,0.1831461638212204,0.20000000298023224,0.08435420340904345,0.07407407407407407,6.369623445668041e-10
3,0.9542497992515564,0.9604183435440063,5.926812134318538e-09,0.022031833058486057,adagrad,warp,8.0,48.0,34.0,0.1969377100467682,0.20000000298023224,0.09124338056246796,0.08,3.433368892813914e-08
16,0.9562126994132996,0.9622940421104431,2.265558518651761e-09,0.004540882365007037,adadelta,warp,5.0,61.0,11.0,0.19997380673885345,0.20000000298023224,0.092618652035394,0.08333333333333333,3.756652748531201e-12
18,0.9219299554824829,0.9292023181915283,1.0427818397205993e-08,0.027113451940437457,adadelta,warp-kos,11.0,48.0,10.0,0.20952007174491882,0.20000000298023224,0.09696193587997681,0.08695652173913043,2.8802692635140486e-08
14,0.9304249882698059,0.9380532503128052,4.073333762811771e-08,0.0950134411715647,adadelta,warp-kos,9.0,28.0,38.0,0.21486598253250122,0.20000000298023224,0.09974593649349352,0.09090909090909091,8.805152663827985e-09
23,0.9547593593597412,0.9613949060440063,6.920010937435345e-09,0.0864179504269295,adagrad,warp,12.0,62.0,36.0,0.2173592448234558,0.20000000298023224,0.1007600770798192,0.09090909090909091,3.966437972301212e-09
17,0.9283187389373779,0.9354724287986755,1.446525937782697e-09,0.02304275125515481,adadelta,warp-kos,6.0,46.0,24.0,0.21762879192829132,0.20000000298023224,0.10092548703146305,0.09090909090909091,7.549988872579642e-09
22,0.9569230079650879,0.9632644057273865,4.828189958341023e-09,0.04006910375681205,adadelta,warp,11.0,57.0,26.0,0.22131627798080444,0.20000000298023224,0.10259665271620799,0.09523809523809523,8.919423360342432e-09
24,0.9585124850273132,0.9646450281143188,2.309015228170864e-09,0.04426267759833179,adadelta,warp,14.0,42.0,47.0,0.22206127643585205,0.20000000298023224,0.1029702704454397,0.09523809523809523,1.1034881481777796e-08
6,0.9310165047645569,0.9383385181427002,1.555699058502785e-08,0.08170777920208763,adadelta,warp-kos,8.0,41.0,41.0,0.22224093973636627,0.20000000298023224,0.10338866301395408,0.09375,1.27292428163301e-08
10,0.9578140377998352,0.9640756249427795,2.617270967474853e-09,0.04542503875255398,adadelta,warp,14.0,50.0,48.0,0.22556529939174652,0.20000000298023224,0.10476027911188195,0.09523809523809523,1.8789060378979878e-08
